reg;region_name;cl_age90;jour;hosp;rea;rad;dc
1;Guadeloupe;0;18/03/2020;0;0;0;0
1;Guadeloupe;9;18/03/2020;0;0;0;0
1;Guadeloupe;19;18/03/2020;0;0;0;0
1;Guadeloupe;29;18/03/2020;0;0;0;0
1;Guadeloupe;39;18/03/2020;0;0;0;0
1;Guadeloupe;49;18/03/2020;0;0;0;0
1;Guadeloupe;59;18/03/2020;0;0;0;0
1;Guadeloupe;69;18/03/2020;0;0;0;0
1;Guadeloupe;79;18/03/2020;0;0;0;0
1;Guadeloupe;89;18/03/2020;0;0;0;0
1;Guadeloupe;90;18/03/2020;0;0;0;0
1;Guadeloupe;0;19/03/2020;0;0;0;0
1;Guadeloupe;9;19/03/2020;0;0;0;0
1;Guadeloupe;19;19/03/2020;0;0;0;0
1;Guadeloupe;29;19/03/2020;0;0;0;0
1;Guadeloupe;39;19/03/2020;0;0;0;0
1;Guadeloupe;49;19/03/2020;0;0;0;0
1;Guadeloupe;59;19/03/2020;0;0;0;0
1;Guadeloupe;69;19/03/2020;0;0;0;0
1;Guadeloupe;79;19/03/2020;0;0;0;0
1;Guadeloupe;89;19/03/2020;0;0;0;0
1;Guadeloupe;90;19/03/2020;0;0;0;0
1;Guadeloupe;0;20/03/2020;0;0;0;0
1;Guadeloupe;9;20/03/2020;0;0;0;0
1;Guadeloupe;19;20/03/2020;0;0;0;0
1;Guadeloupe;29;20/03/2020;0;0;0;0
1;Guadeloupe;39;20/03/2020;0;0;0;0
1;Guadeloupe;49;20/03/2020;0;0;0;0
1;Guadeloupe;59;20/03/2020;0;0;0;0
1;Guadeloupe;69;20/03/2020;0;0;0;0
1;Guadeloupe;79;20/03/2020;0;0;0;0
1;Guadeloupe;89;20/03/2020;0;0;0;0
1;Guadeloupe;90;20/03/2020;0;0;0;0
1;Guadeloupe;0;21/03/2020;0;0;0;0
1;Guadeloupe;9;21/03/2020;0;0;0;0
1;Guadeloupe;19;21/03/2020;0;0;0;0
1;Guadeloupe;29;21/03/2020;0;0;0;0
1;Guadeloupe;39;21/03/2020;0;0;0;0
1;Guadeloupe;49;21/03/2020;0;0;0;0
1;Guadeloupe;59;21/03/2020;0;0;0;0
1;Guadeloupe;69;21/03/2020;0;0;0;0
1;Guadeloupe;79;21/03/2020;0;0;0;0
1;Guadeloupe;89;21/03/2020;0;0;0;0
1;Guadeloupe;90;21/03/2020;0;0;0;0
1;Guadeloupe;0;22/03/2020;6;6;0;0
1;Guadeloupe;9;22/03/2020;0;0;0;0
1;Guadeloupe;19;22/03/2020;0;0;0;0
1;Guadeloupe;29;22/03/2020;0;0;0;0
1;Guadeloupe;39;22/03/2020;1;1;0;0
1;Guadeloupe;49;22/03/2020;0;0;0;0
1;Guadeloupe;59;22/03/2020;2;2;0;0
1;Guadeloupe;69;22/03/2020;2;2;0;0
1;Guadeloupe;79;22/03/2020;1;1;0;0
1;Guadeloupe;89;22/03/2020;0;0;0;0
1;Guadeloupe;90;22/03/2020;0;0;0;0
1;Guadeloupe;0;23/03/2020;6;6;0;0
1;Guadeloupe;9;23/03/2020;0;0;0;0
1;Guadeloupe;19;23/03/2020;0;0;0;0
1;Guadeloupe;29;23/03/2020;0;0;0;0
1;Guadeloupe;39;23/03/2020;1;1;0;0
1;Guadeloupe;49;23/03/2020;0;0;0;0
1;Guadeloupe;59;23/03/2020;2;2;0;0
1;Guadeloupe;69;23/03/2020;2;2;0;0
1;Guadeloupe;79;23/03/2020;1;1;0;0
1;Guadeloupe;89;23/03/2020;0;0;0;0
1;Guadeloupe;90;23/03/2020;0;0;0;0
1;Guadeloupe;0;24/03/2020;6;6;0;0
1;Guadeloupe;9;24/03/2020;0;0;0;0
1;Guadeloupe;19;24/03/2020;0;0;0;0
1;Guadeloupe;29;24/03/2020;0;0;0;0
1;Guadeloupe;39;24/03/2020;1;1;0;0
1;Guadeloupe;49;24/03/2020;0;0;0;0
1;Guadeloupe;59;24/03/2020;2;2;0;0
1;Guadeloupe;69;24/03/2020;2;2;0;0
1;Guadeloupe;79;24/03/2020;1;1;0;0
1;Guadeloupe;89;24/03/2020;0;0;0;0
1;Guadeloupe;90;24/03/2020;0;0;0;0
1;Guadeloupe;0;25/03/2020;6;6;0;0
1;Guadeloupe;9;25/03/2020;0;0;0;0
1;Guadeloupe;19;25/03/2020;0;0;0;0
1;Guadeloupe;29;25/03/2020;0;0;0;0
1;Guadeloupe;39;25/03/2020;1;1;0;0
1;Guadeloupe;49;25/03/2020;0;0;0;0
1;Guadeloupe;59;25/03/2020;2;2;0;0
1;Guadeloupe;69;25/03/2020;2;2;0;0
1;Guadeloupe;79;25/03/2020;1;1;0;0
1;Guadeloupe;89;25/03/2020;0;0;0;0
1;Guadeloupe;90;25/03/2020;0;0;0;0
1;Guadeloupe;0;26/03/2020;21;7;4;0
1;Guadeloupe;9;26/03/2020;0;0;0;0
1;Guadeloupe;19;26/03/2020;0;0;0;0
1;Guadeloupe;29;26/03/2020;0;0;0;0
1;Guadeloupe;39;26/03/2020;2;1;1;0
1;Guadeloupe;49;26/03/2020;1;0;0;0
1;Guadeloupe;59;26/03/2020;7;1;1;0
1;Guadeloupe;69;26/03/2020;8;3;0;0
1;Guadeloupe;79;26/03/2020;1;1;1;0
1;Guadeloupe;89;26/03/2020;2;1;1;0
1;Guadeloupe;90;26/03/2020;0;0;0;0
